,longitude
929,80.2159247
930,77.9793799
931,0.0
932,-80.18751347019423
933,78.4054408
934,78.5510938
935,78.55457541460385
936,78.4200077
937,78.3547825
938,78.4006536
939,0.0
940,78.3365214
941,78.4054408
942,78.5726444
943,78.3010473
944,78.4054408
945,78.3916289
946,78.3322142
947,78.4006536
948,78.3060359
949,78.3365214
950,78.34067239565113
951,79.94467369931576
952,78.2905401
953,78.3961144
954,78.3825785
955,78.3547825
956,78.4054408
957,78.0692712
958,78.4833886
959,78.003997
960,77.6796806
961,0.0
962,78.48373166329485
963,2.820229
964,78.4792282
965,78.3519638
966,78.4200077
967,0.0
968,73.077714
969,78.4102882
970,78.3825785
971,78.3861689281263
972,0.0
973,79.6808767
974,78.5107535
975,78.3547825
976,79.6808767
977,78.3365214
978,73.077714
979,78.3791238
980,78.3567628
981,80.8334595
982,78.4102882
983,78.3567628
984,78.3405519
985,79.6808767
986,2.820229
987,78.4624821
988,2.820229
989,80.8334595
990,78.3817156
991,78.3405519
992,78.3365214
993,80.8334595
994,79.6808767
995,78.3322142
996,78.3861689281263
997,78.3365214
998,2.820229
999,78.4054408
1000,0.0
1001,78.4102882
1002,2.820229
1003,78.4399014
1004,0.0
1005,80.8334595
1006,78.2905401
1007,78.3060359
1008,78.4342514
1009,78.4200077
1010,78.3861689281263
1011,80.8334595
1012,80.8334595
1013,78.3817156
1014,73.077714
1015,78.3635484
1016,0.0
1017,80.8334595
1018,78.3817156
1019,78.4054408
1020,78.3961144
1021,78.3916289
1022,78.3519638
1023,78.3916289
1024,78.2905401
1025,78.0692712
1026,78.3567628
1027,78.3365214
1028,78.0699201
1029,78.3519638
1030,77.6796806
1031,78.3817156
1032,79.1322648
1033,78.3825785
1034,78.003997
1035,78.3961144
1036,79.6808767
1037,79.6808767
1038,78.5509653
1039,78.3519638
1040,78.30112472247902
1041,79.7955465
1042,78.3961144
1043,78.2674254
1044,78.3567628
1045,80.2159247
1046,78.3060359
1047,78.3405519
1048,78.4446705
1049,78.5088584
1050,78.3817156
1051,78.3961144
1052,78.3060359
1053,79.6808767
1054,-78.6604105
1055,78.3817156
1056,78.3547825
1057,78.3567628
1058,78.4102882
1059,78.5417093
1060,80.8334595
1061,78.4054408
1062,78.5379433
1063,77.0071312
1064,78.3365214
1065,78.3817156
1066,78.2045948
1067,78.375176
1068,78.4006536
1069,2.820229
1070,78.4102882
1071,78.4200077
1072,78.3519638
1073,79.7955465
1074,79.6808767
1075,80.8334595
1076,78.4446705
1077,80.2159247
1078,78.5601231
1079,78.3010473
1080,78.34067239565113
1081,78.2905401
1082,78.3916289
1083,78.307551458684
1084,78.3322142
1085,78.4054408
1086,80.8334595
1087,80.8334595
1088,78.5705066
1089,78.3405519
1090,78.3567628
1091,78.4006536
1092,80.8334595
1093,78.5426918
1094,77.9793799
1095,78.0692712
1096,0.0
1097,78.3519638
1098,79.6808767
1099,78.4054408
1100,78.3817156
1101,79.6808767
1102,78.34067239565113
1103,0.0
1104,78.0692712
1105,78.4054408
1106,78.4200077
1107,78.34067239565113
1108,78.3817156
1109,78.3365214
1110,78.3365214
1111,0.0
1112,78.5014979
1113,78.2905401
1114,78.2674254
1115,78.3861689281263
1116,78.49462050784989
1117,78.3916289
1118,0.0
1119,78.5107535
1120,2.820229
1121,78.4624821
1122,78.4054408
1123,78.2873322
1124,79.2579675
1125,73.077714
1126,79.6808767
1127,78.3010473
1128,78.5088584
1129,78.4054408
1130,78.4054408
1131,79.6808767
1132,78.55457541460385
1133,78.003997
1134,78.3861689281263
1135,78.3825785
1136,78.3547825
1137,78.4399014
1138,78.50557
1139,78.3519638
1140,78.4102882
1141,80.8334595
1142,78.4054408
