,latitude
862,17.4258278
863,17.5284576
864,17.3995625
865,17.4930841
866,17.5200154
867,17.4930841
868,17.4256007
869,17.4872976
870,17.4436222
871,0.0
872,17.6788421
873,17.4685307
874,31.4197963
875,17.515397
876,17.4535469
877,17.4930841
878,17.6788421
879,17.4408578
880,17.4755371
881,17.4872976
882,17.4917948
883,16.449897
884,17.5163573
885,17.3948624
886,17.4981608
887,6.4318831
888,26.40349795
889,18.0823869
890,17.6788421
891,17.46565735
892,18.9898611
893,6.4318831
894,17.374360600000003
895,17.4939602
896,17.4511764
897,17.50679
898,17.5410548
899,17.4774828
900,16.449897
901,16.449897
902,18.0191012
903,17.4436222
904,17.39004015
905,17.3948624
906,17.515397
907,17.5284576
908,17.6788421
909,17.4454293
910,0.0
911,17.451523
912,18.0191012
913,17.50679
914,0.0
915,30.0783042
916,17.515397
917,17.4930841
918,17.515397
919,17.4057955
920,17.5186631
921,17.515397
922,17.50679
923,17.4177464
924,17.4522594
925,16.449897
926,17.5163573
927,17.4892154
928,0.0
929,13.0400731
930,17.3847673
931,0.0
932,26.396695
933,17.4930841
934,17.3501617
935,17.35891075
936,17.5271759
937,17.5284576
938,17.4057955
939,0.0
940,17.3948624
941,17.4930841
942,17.4825451
943,17.5163573
944,17.4930841
945,17.4408578
946,17.4872976
947,17.4057955
948,17.4774828
949,17.3948624
950,17.46565735
951,29.3547048
952,17.4535469
953,17.50679
954,17.451523
955,17.5284576
956,17.4930841
957,18.0191012
958,17.4393223
959,18.0823869
960,15.9753367
961,0.0
962,17.46395425
963,6.4318831
964,17.4755371
965,17.4436222
966,17.5271759
967,0.0
968,31.4197963
969,17.4308362
970,17.451523
971,17.39999505
972,0.0
973,17.6788421
974,17.4469418
975,17.5284576
976,17.6788421
977,17.3948624
978,31.4197963
979,17.5114004
980,17.4981608
981,16.449897
982,17.4308362
983,17.4981608
984,17.4258278
985,17.6788421
986,6.4318831
987,17.4440199
988,6.4318831
989,16.449897
990,17.515397
991,17.4258278
992,17.3948624
993,16.449897
994,17.6788421
995,17.4872976
996,17.39999505
997,17.3948624
998,6.4318831
999,17.4930841
1000,0.0
1001,17.4308362
1002,6.4318831
1003,17.4177464
1004,0.0
1005,16.449897
1006,17.4535469
1007,17.4774828
1008,17.3942627
1009,17.5271759
1010,17.39999505
1011,16.449897
1012,16.449897
1013,17.515397
1014,31.4197963
1015,17.5410548
1016,0.0
1017,16.449897
1018,17.515397
1019,17.4930841
1020,17.50679
1021,17.4408578
1022,17.4436222
1023,17.4408578
1024,17.4535469
1025,18.0191012
1026,17.4981608
1027,17.3948624
1028,18.1609088
1029,17.4436222
1030,15.9753367
1031,17.515397
1032,18.4346438
1033,17.451523
1034,18.0823869
1035,17.50679
1036,17.6788421
1037,17.6788421
1038,17.4798689
1039,17.4436222
1040,17.374360600000003
1041,18.9898611
1042,17.50679
1043,17.5286092
1044,17.4981608
1045,13.0400731
1046,17.4774828
1047,17.4258278
1048,17.4522594
1049,17.5022292
1050,17.515397
1051,17.50679
1052,17.4774828
1053,17.6788421
1054,22.1041221
1055,17.515397
1056,17.5284576
1057,17.4981608
1058,17.4308362
1059,17.3995282
1060,16.449897
1061,17.4930841
1062,17.4285479
1063,16.3492667
1064,17.3948624
1065,17.515397
1066,17.0671702
1067,17.3915525
1068,17.4057955
1069,6.4318831
1070,17.4308362
1071,17.5271759
1072,17.4436222
1073,18.9898611
1074,17.6788421
1075,16.449897
1076,17.4522594
1077,13.0400731
1078,17.3775306
1079,17.5163573
1080,17.46565735
1081,17.4535469
1082,17.4408578
1083,17.4545079
1084,17.4872976
1085,17.4930841
1086,16.449897
1087,16.449897
1088,17.7776835
1089,17.4258278
1090,17.4981608
1091,17.4057955
1092,16.449897
1093,17.4154761
1094,17.3847673
1095,18.0191012
1096,0.0
1097,17.4436222
1098,17.6788421
1099,17.4930841
1100,17.515397
1101,17.6788421
1102,17.46565735
1103,0.0
1104,18.0191012
1105,17.4930841
1106,17.5271759
1107,17.46565735
1108,17.515397
1109,17.3948624
1110,17.3948624
1111,0.0
1112,17.41526
1113,17.4535469
1114,17.5286092
1115,17.39999505
1116,17.39004015
1117,17.4408578
1118,0.0
1119,17.4469418
1120,6.4318831
1121,17.4440199
1122,17.4930841
1123,18.0018724
1124,19.1541986
1125,31.4197963
1126,17.6788421
1127,17.5163573
1128,17.5022292
1129,17.4930841
1130,17.4930841
1131,17.6788421
1132,17.35891075
1133,18.0823869
1134,17.39999505
1135,17.451523
1136,17.5284576
1137,17.4177464
1138,17.3975005
1139,17.4436222
1140,17.4308362
1141,16.449897
1142,17.4930841
1143,17.4258278
1144,26.396695
1145,17.3847673
1146,17.4930841
1147,18.0018724
1148,33.6290111
1149,29.9537495
1150,17.5163573
1151,17.3506317
1152,0.0
1153,17.4774828
1154,17.4892154
1155,17.4408578
1156,17.50679
1157,17.4774828
1158,6.4318831
1159,17.4511764
1160,18.0191012
1161,17.3501617
1162,17.3948624
1163,17.515397
1164,17.5410548
1165,17.37399515
1166,17.4408578
1167,6.4318831
1168,16.449897
1169,17.5163573
1170,17.4405369
1171,17.4892154
1172,0.0
1173,17.451523
1174,17.4039678
1175,17.4511764
1176,17.39004015
1177,16.449897
1178,17.5284576
1179,17.4258278
1180,17.5163573
1181,17.515397
1182,13.0400731
1183,17.517411
1184,17.4981608
1185,6.4318831
1186,17.4872976
1187,17.515397
1188,17.6788421
1189,17.4930841
1190,17.3948624
1191,18.0018724
1192,17.3506317
1193,17.515397
1194,17.4177464
1195,17.39999505
1196,16.449897
1197,17.451523
1198,17.46565735
1199,17.4285479
1200,17.5441251
1201,6.4318831
1202,0.0
1203,17.4930841
1204,17.5200154
1205,17.5022292
1206,17.5042727
1207,17.5330679
1208,17.39004015
1209,17.3775306
1210,17.4930841
1211,31.4197963
1212,12.8722856
1213,17.4930841
1214,17.4930841
1215,17.5163573
1216,18.0191012
1217,17.5163573
1218,17.6788421
1219,17.4535469
1220,16.449897
1221,17.4652946
1222,17.4258278
1223,17.4798689
1224,17.4535469
1225,17.4469418
1226,17.5410548
1227,17.5284576
1228,17.6788421
1229,17.4436222
1230,17.4436222
1231,17.4140574
1232,17.3506317
1233,17.5271759
1234,17.4930841
1235,0.0
1236,17.4930841
1237,17.451523
1238,17.4930841
1239,17.4405369
1240,16.449897
1241,17.4140574
1242,17.50679
1243,17.470446
1244,17.39999505
1245,6.4318831
1246,0.0
1247,17.6788421
1248,17.6788421
1249,17.4930841
1250,18.9898611
1251,17.3501617
1252,17.3948624
1253,17.50679
1254,17.45121
1255,17.39999505
1256,17.50679
1257,18.0823869
1258,17.50679
1259,17.4522594
1260,17.4258278
1261,26.396695
1262,22.1041221
1263,17.3506317
1264,17.4469418
1265,17.515397
1266,17.373017
1267,26.8785054
1268,0.0
1269,17.3948624
1270,17.45121
1271,17.46565735
1272,17.5410548
1273,6.4318831
1274,17.5030543
1275,17.4535469
1276,17.4930841
1277,13.0400731
1278,17.4308362
1279,22.1041221
1280,17.515397
1281,17.4177464
1282,17.3768805
1283,17.5186631
1284,17.515397
1285,17.5030543
1286,17.7776835
1287,6.4318831
1288,17.39999505
1289,17.4930841
1290,17.4154761
1291,17.4981608
1292,17.6788421
1293,17.3768805
1294,16.449897
1295,17.5271759
1296,17.4522594
1297,17.4258278
1298,17.4436222
1299,17.4408578
1300,17.515397
1301,17.39999505
1302,17.4258278
1303,17.3501617
1304,17.4255053
1305,17.50679
1306,0.0
1307,18.0191012
1308,17.3942627
1309,17.4930841
1310,15.9753367
1311,17.4981608
1312,17.4177464
1313,17.6788421
1314,17.451523
1315,17.5330679
1316,17.4408578
1317,17.4258278
1318,17.4930841
1319,17.5163573
1320,17.4258278
1321,17.4535469
1322,17.4939602
1323,17.4177464
1324,17.5284576
1325,17.45121
1326,17.515397
1327,17.4930841
1328,17.515397
1329,17.4469418
1330,17.4405369
1331,17.451523
1332,17.39999505
1333,17.4469418
1334,17.4917948
1335,6.4318831
1336,17.6788421
1337,17.3501617
1338,17.4154761
1339,17.4436222
1340,18.9898611
1341,18.0823869
1342,6.4318831
1343,17.3948624
1344,16.449897
1345,17.4511764
1346,0.0
1347,30.9210023
1348,0.0
1349,17.515397
1350,17.5284576
1351,17.4436222
1352,17.4408578
1353,17.5271759
1354,0.0
1355,17.4408578
1356,17.4930841
1357,17.4200755
1358,17.4774828
1359,17.4774828
1360,17.4930841
1361,17.4405369
1362,17.4436222
1363,17.5286092
1364,17.4436222
1365,17.3775306
1366,17.4436222
1367,17.5022292
1368,17.4535469
1369,0.0
1370,16.449897
1371,17.3948624
1372,17.4917948
1373,18.0191012
1374,19.3216024
1375,17.4535469
1376,17.4981608
1377,17.4255053
1378,0.0
1379,17.4308362
1380,17.4930841
1381,17.515397
1382,17.5271759
1383,0.0
1384,17.39999505
1385,17.515397
1386,16.449897
1387,25.6058874
1388,17.4436222
1389,17.4930841
1390,31.4197963
1391,0.0
1392,17.45121
1393,6.4318831
1394,17.6788421
1395,17.4930841
1396,17.4154761
1397,17.4511764
1398,17.3948624
1399,6.4318831
1400,17.5022292
1401,0.0
1402,17.4981608
1403,17.5271759
1404,17.4436222
1405,17.5284576
1406,17.8231821
1407,17.4981608
1408,16.449897
1409,17.4774828
1410,17.451523
1411,16.449897
1412,18.0191012
1413,17.4892154
1414,17.4946328
1415,17.4930841
1416,17.46565735
1417,17.451523
1418,31.4197963
1419,17.3303179
1420,17.5163573
1421,16.449897
1422,17.541791
1423,0.0
1424,17.4872976
1425,17.6788421
1426,17.4440199
1427,17.4285479
1428,17.0671702
1429,17.5271759
1430,16.449897
1431,22.1041221
1432,6.4318831
1433,17.41526
1434,6.4318831
1435,17.3948624
1436,17.451523
1437,17.50679
1438,17.515397
1439,17.4469418
1440,17.4078455
1441,17.4405369
1442,17.451523
1443,17.4930841
1444,6.4318831
1445,17.4469418
1446,17.5163573
1447,17.4405369
1448,18.9898611
1449,17.3501617
1450,17.451523
1451,0.0
1452,17.39999505
1453,17.5286092
1454,17.373017
1455,17.4258278
1456,17.50679
1457,18.9898611
1458,17.3847673
1459,30.9210023
1460,17.2611444
1461,18.0018724
1462,17.4177464
1463,16.449897
1464,17.8231821
1465,65.0563891
1466,17.3501617
1467,17.6788421
1468,17.5163573
1469,17.5284576
1470,17.3541765
1471,12.8722856
1472,17.4258278
1473,13.0400731
1474,18.0823869
1475,17.4177464
1476,17.515397
1477,17.4981608
1478,17.515397
1479,17.4308362
1480,17.4755371
1481,6.4318831
1482,17.4039678
1483,17.4981608
1484,17.4436222
1485,17.515397
1486,17.451523
1487,17.4469418
1488,17.515397
1489,0.0
1490,17.451523
1491,0.0
1492,0.0
1493,17.4981608
1494,17.4405369
1495,17.4981608
1496,65.0563891
1497,17.4981608
1498,17.4535469
1499,17.4436222
1500,17.4774828
1501,65.0563891
1502,17.4258278
1503,17.451523
1504,17.5163573
1505,17.4511764
1506,0.0
1507,17.4436222
1508,18.0191012
1509,17.6788421
1510,17.0887885
1511,17.4436222
1512,17.5410548
1513,17.5271759
1514,17.5284576
1515,18.0191012
1516,17.4930841
1517,17.4002904
1518,0.0
1519,17.4154761
1520,0.0
1521,17.6788421
1522,17.4930841
1523,17.3410061
1524,17.4080204
1525,17.3200218
1526,17.50679
1527,17.6788421
1528,17.5284576
1529,16.449897
1530,17.4177464
1531,17.5163573
1532,17.4511764
1533,0.0
1534,17.4522594
1535,17.4436222
1536,18.0191012
1537,17.5271759
1538,17.4078455
1539,18.0191012
1540,18.0018724
1541,17.3940158
1542,18.0191012
1543,16.449897
1544,17.5284576
1545,17.4930841
1546,17.5286092
1547,17.45121
1548,17.4436222
1549,17.4057955
1550,17.4057955
1551,17.3948624
1552,17.5284576
1553,17.6788421
1554,17.4930841
1555,17.4930841
1556,16.449897
1557,31.4197963
